"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
10/30/2023 17:35:25 +00:00,kraytdragon,197788324,Skaar,4530612,5
10/30/2023 17:35:25 +00:00,kraytdragon,585576166,Patrick4,3123393,20
10/30/2023 17:35:25 +00:00,kraytdragon,834874213,BobbyMarshal,2228568,38
10/30/2023 17:35:25 +00:00,kraytdragon,855527258,BobaChuck91,1916660,39
10/30/2023 17:35:25 +00:00,kraytdragon,452518631,Puck,3150000,18
10/30/2023 17:35:25 +00:00,kraytdragon,389689423,ArtVandalay,3180440,16
10/30/2023 17:35:25 +00:00,kraytdragon,394321369,Javin Fis,2381333,33
10/30/2023 17:35:25 +00:00,kraytdragon,214224828,JakeY,2678876,30
10/30/2023 17:35:25 +00:00,kraytdragon,452238138,Yosh,887742,49
10/30/2023 17:35:25 +00:00,kraytdragon,475136137,WharfRat,4334286,8
10/30/2023 17:35:25 +00:00,kraytdragon,478966819,Lambert,3167443,17
10/30/2023 17:35:25 +00:00,kraytdragon,118679749,manolis,1800000,40
10/30/2023 17:35:25 +00:00,kraytdragon,643373276,Avatany,1224554,45
10/30/2023 17:35:25 +00:00,kraytdragon,685711659,MINI DarthAzazel,4622187,4
10/30/2023 17:35:25 +00:00,kraytdragon,924462567,non7top,2444197,31
10/30/2023 17:35:25 +00:00,kraytdragon,299292257,G4reth,3105738,21
10/30/2023 17:35:25 +00:00,kraytdragon,396743814,Rhil Margos,2397284,32
10/30/2023 17:35:25 +00:00,kraytdragon,964121997,DarthDax,2278368,36
10/30/2023 17:35:25 +00:00,kraytdragon,492564869,OwningXylophone,3614347,12
10/30/2023 17:35:25 +00:00,kraytdragon,346854538,Tyron Brandt,5651776,1
10/30/2023 17:35:25 +00:00,kraytdragon,471792187,Geralt of Rivia,1079198,48
10/30/2023 17:35:25 +00:00,kraytdragon,124165769,Tyrian,1516710,42
10/30/2023 17:35:25 +00:00,kraytdragon,175993797,El Jefe,3076410,24
10/30/2023 17:35:25 +00:00,kraytdragon,729916753,Squanchy420,0,50
10/30/2023 17:35:25 +00:00,kraytdragon,371731743,Trask droll,3300000,14
10/30/2023 17:35:25 +00:00,kraytdragon,312478199,Taco Hat,1538759,41
10/30/2023 17:35:25 +00:00,kraytdragon,334861731,JediAhsoka,1106704,47
10/30/2023 17:35:25 +00:00,kraytdragon,754294299,Darthsyn,2700000,29
10/30/2023 17:35:25 +00:00,kraytdragon,862389575,Enigma,5223264,2
10/27/2023 17:31:54 +00:00,kraytdragon,814134474,RoTahn Taske,3417524,13
10/27/2023 17:31:54 +00:00,kraytdragon,768488681,Tranced,4480161,6
10/27/2023 17:31:54 +00:00,kraytdragon,443495965,Verage Valoor,3134012,18
10/27/2023 17:31:54 +00:00,kraytdragon,585576166,Patrick4,3282412,15
10/27/2023 17:31:54 +00:00,kraytdragon,396743814,Rhil Margos,2329273,31
