CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score,SpecialResults
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,863697863,Mega Kicagemon,orthodoxrebel#0000,8,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,944998814,Philadelphia Collins,_philadelphiacollins#0000,6,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,741489737,Mc,Mc#4119,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,788557913,s0da p0pinski,s0da_p0pinski#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,846356518,CT69420,Fancytomato22#7624,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,275475314,SithKebab,pooba#0000,7,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,436482977,PaulB086,paulb086#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,341125679,8,8........#0588,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict01,453925665,N7 Tesla,n7tesla#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,732614324,SecretId,â¦.secretidâ©#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,178927387,Mr Blargh,Blaaaarrrrrrggggghhhhh#1496,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,716951122,MINI Mace Dymond,dymo0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,262663538,Daggo,Daggo#4474,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,235598485,rockoffanddie,rockoffanddie#5252,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,729835146,Yania May,YaniaMay#7722,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,885421384,Thessa Odai,Thessa Odai#0111,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,879666349,Skcampy,skcampy#3655,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,285458979,OhMyPretzel,ohmypretzel,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,662698148,Wabba Dejabba,recon224#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,788557913,s0da p0pinski,s0da_p0pinski#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,778628584,Bobandy,bobandy8960#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,846356518,CT69420,Fancytomato22#7624,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,341125679,8,8........#0588,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,452956267,Zazztrain,zazztrain#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,795112941,Rh Factor,Rich Howley#2806,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,473794447,ItzBerndern,ItzBerndern#5396,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,396314914,Trate Daxson,â¦TrateDaxsonâ©#7855,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,295928884,Akbahr,akbahr#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,948172661,Excelsior 101,Digolo doorjam#3841,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,363639736,FateHydro,EricE#9019,8,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,863697863,Mega Kicagemon,orthodoxrebel#0000,15,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,665525861,Laseracid,â¦laseracidâ©#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,944998814,Philadelphia Collins,_philadelphiacollins#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,275475314,SithKebab,pooba#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict02,453925665,N7 Tesla,n7tesla#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,178927387,Mr Blargh,Blaaaarrrrrrggggghhhhh#1496,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,611122258,Yodizzle,yodizzle69#2795,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,482555984,TheMonkeyBuddha,â¦mâ—nkðŸ‡¨ðŸ‡¦â©#5843,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,262663538,Daggo,Daggo#4474,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase01_conflict03,452956267,Zazztrain,zazztrain#0000,7,
